time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448800000	19.6878	15.5352	4.43471	1.98246	0.59284	lidar	3.01735	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6063	15.7257	4.41426	2.00516	0.579421	radar	1.20301	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4914	15.9542	4.505	2.03898	0.585544	lidar	0.237516	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3949	16.1575	4.54882	2.05306	0.551781	radar	1.81692	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2842	16.3374	4.50465	2.08354	0.554594	lidar	0.348057	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1737	16.526	4.48267	2.11239	0.557845	radar	0.203656	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0272	16.7587	4.61611	2.14515	0.564065	lidar	0.492786	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8709	16.95	4.59553	2.20742	0.636228	radar	6.72511	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6703	17.2191	4.875	2.24732	0.646436	lidar	2.11567	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5715	17.4218	4.85361	2.22686	0.543216	radar	5.94286	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.342	17.6331	5.01854	2.27603	0.566741	lidar	3.60546	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2014	17.8299	5.01547	2.27818	0.512981	radar	2.20415	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0804	18.0052	4.91667	2.29281	0.501385	lidar	1.04413	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9062	18.1566	4.85374	2.33771	0.538984	radar	2.15676	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
